journal_name,abdc_rank,source_id,openalex_name,issn_l,works_count,match_score
Journal of Finance,A*,https://openalex.org/S5353659,The Journal of Finance,0022-1082,16074,0.9
Journal of Financial Economics,A*,https://openalex.org/S149240962,Journal of Financial Economics,0304-405X,4836,1.0
Review of Financial Studies,A*,https://openalex.org/S170137484,Review of Financial Studies,0893-9454,3242,1.0
Journal of Monetary Economics,A*,https://openalex.org/S6711363,Journal of Monetary Economics,0304-3932,3981,1.0
Journal of Financial and Quantitative Analysis,A*,https://openalex.org/S193228710,Journal of Financial and Quantitative Analysis,0022-1090,4040,1.0
Review of Finance,A*,https://openalex.org/S49857371,European Finance Review,1382-6662,1099,0.9
"Journal of Money, Credit and Banking",A*,https://openalex.org/S2058785,Journal of money credit and banking,0022-2879,4552,0.9859154929577464
Mathematical Finance,A*,https://openalex.org/S133335107,Mathematical Finance,0960-1627,1393,1.0
Finance and Stochastics,A*,https://openalex.org/S172526255,Finance and Stochastics,0949-2984,819,1.0
Journal of Financial Intermediation,A*,https://openalex.org/S5984737,Journal of Financial Intermediation,1042-9573,1026,1.0
Journal of Banking and Finance,A,https://openalex.org/S2876017,Journal of Banking & Finance,0378-4266,7462,0.9310344827586208
Journal of Corporate Finance,A,https://openalex.org/S152282257,Journal of Corporate Finance,0929-1199,2789,1.0
Journal of Empirical Finance,A,https://openalex.org/S145875555,Journal of Empirical Finance,0927-5398,1822,1.0
Journal of International Money and Finance,A,https://openalex.org/S10747938,Journal of International Money and Finance,0261-5606,3754,1.0
Financial Analysts Journal,A,https://openalex.org/S162525099,Financial Analysts Journal,0015-198X,5561,1.0
Journal of Futures Markets,A,https://openalex.org/S136612413,Journal of Futures Markets,0270-7314,3392,1.0
Journal of Risk and Insurance,A,https://openalex.org/S4210180518,Asia-Pacific Journal of Risk and Insurance,1793-2157,302,0.8169014084507042
Journal of Financial Markets,A,https://openalex.org/S127646213,Journal of Financial Markets,1386-4181,902,1.0
Journal of Financial Research,A,https://openalex.org/S74917840,The Journal of Financial Research,0270-2592,2635,0.935483870967742
Financial Management,A,https://openalex.org/S157946625,Financial Management,0046-3892,2305,1.0
Journal of Financial Services Research,A,https://openalex.org/S79175213,Journal of Financial Services Research,0920-8550,1072,1.0
Journal of Derivatives,A,https://openalex.org/S173901576,The Journal of Derivatives,1074-1240,950,0.9166666666666666
Review of Derivatives Research,A,https://openalex.org/S100711025,Review of Derivatives Research,1380-6645,326,1.0
Journal of Portfolio Management,A,https://openalex.org/S143806524,The Journal of Portfolio Management,0095-4918,3591,0.9393939393939394
European Financial Management,A,https://openalex.org/S131852005,European Financial Management,1354-7798,1469,1.0
"Journal of International Financial Markets, Institutions and Money",A,https://openalex.org/S82743730,Journal of International Financial Markets Institutions and Money,1042-4431,2137,0.9923664122137404
Financial Review,A,https://openalex.org/S9351053,Financial Review,0732-8516,3142,1.0
Journal of Fixed Income,A,https://openalex.org/S99789271,The Journal of Fixed Income,1059-8596,1099,0.92
Journal of Financial Stability,A,https://openalex.org/S121634618,Journal of Financial Stability,1572-3089,1326,1.0
International Review of Financial Analysis,A,https://openalex.org/S145572626,International Review of Financial Analysis,1057-5219,4639,1.0
Journal of Asset Management,A,https://openalex.org/S206916388,Journal of Asset Management,1470-8272,997,1.0
Quantitative Finance,A,https://openalex.org/S182689569,Quantitative Finance,1469-7688,3140,1.0
Journal of Banking Regulation,A,https://openalex.org/S185277049,Journal of Banking Regulation,1745-6452,631,1.0
Journal of Pension Economics and Finance,A,https://openalex.org/S73680622,Journal of Pensions Economics and Finance,1474-7472,928,0.9876543209876544
Pacific-Basin Finance Journal,A,https://openalex.org/S29049940,Pacific-Basin Finance Journal,0927-538X,3026,1.0
Annals of Finance,A,https://openalex.org/S146522396,Annals of Finance,1614-2446,473,1.0
Journal of Financial Regulation and Compliance,A,https://openalex.org/S58879488,Journal of Financial Regulation and Compliance,1358-1988,1080,1.0
Journal of Behavioral Finance,A,https://openalex.org/S94083415,Journal of Behavioral Finance,1542-7560,733,1.0
North American Journal of Economics and Finance,A,https://openalex.org/S155526628,The North American Journal of Economics and Finance,1062-9408,2446,0.9591836734693876
